alg,seed,train,test,theta,pop_size,gens,stalled_gens,tolerance,patience,fitness_history,time(seconds)
PSO,4,-1152.3395946269718,-1000.0,"[24.0216871618276, 1.503083269309343, 0.09229197584216206, 142.05517306462664, 2.746122507670039, 0.12722480702552427, 8.511881549562801, 2.0310898304908935]",50,11,10,0.0001,10,"[-1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718]",3.33
PSO,3,-1152.3395946269718,-1000.0,"[21.017804281247784, 1.1444667263947834, 0.422024981985348, 118.2853024679303, 3.0, 0.2813293637256444, 7.5147923896545725, 7.6280754749196955]",50,12,10,0.0001,10,"[-1151.9118923832386, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718]",3.5
PSO,6,-1152.3395946269718,-1000.0,"[21.81009917429372, 1.3456862013262108, 0.16682557247291568, 176.97880682434675, 2.655823261663061, 0.40281505146383023, 7.841199629380346, 2.2921592885046236]",50,11,10,0.0001,10,"[-1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718]",3.57
PSO,1,-1152.3395946269718,-1000.0,"[22.430856557300135, 0.7540986743336067, 0.3741352548552074, 146.87860765054302, 3.0, 0.32057121368482755, 6.293028635550119, 3.784946830210495]",50,12,10,0.0001,10,"[-1151.9118923832386, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718]",3.66
PSO,7,-1152.3395946269718,-1000.0,"[26.08041222100685, 1.7904495718796327, 0.09489175120866494, 187.7498542500136, 2.9274273102784405, 0.4155435397671017, 6.989402620668293, 2.857212496327336]",50,12,10,0.0001,10,"[-1151.9118923832386, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718]",3.68
PSO,5,-1152.3395946269718,-1000.0,"[20.429898546776357, 0.8299051481671573, 0.5, 88.42482871812612, 2.6783182903227027, 0.18353512277464418, 5.316117522618165, 6.764107589604712]",50,12,10,0.0001,10,"[-1150.790079252918, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718]",3.77
PSO,2,-1152.3395946269718,-1000.0,"[12.909759414492934, 0.0, 0.1939558013817806, 51.651054948011364, 3.0, 0.26511494123167884, 9.0, 7.280142450119293]",50,14,10,0.0001,10,"[-1148.5000664712559, -1151.9118923832386, -1151.9118923832386, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718]",3.96
PSO,0,-1152.3395946269718,-1000.0,"[13.899371848994146, 2.03738216389828, 0.08124780448840521, 24.65157590013304, 2.868460470499693, 0.11817205823670376, 8.224092746937746, 5.774176523765307]",50,14,10,0.0001,10,"[-1146.8440987933898, -1150.5840066200149, -1151.9118923832386, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718]",4.1
PSO,8,-1152.3395946269718,-1000.0,"[22.708104106378094, 0.9328277720522974, 0.18790550073158266, 160.78046351895603, 2.923463938461513, 0.32651087318281596, 4.53988350308884, 5.1458350654287734]",50,11,10,0.0001,10,"[-1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718]",3.33
PSO,11,-1152.3395946269718,-1000.0,"[22.698912472943377, 0.5869584898359629, 0.07786410581680366, 127.71057931832686, 2.687273255223845, 0.06212453512311626, 7.830815939350016, 3.3311901170983855]",50,11,10,0.0001,10,"[-1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718]",3.33
PSO,10,-1152.3395946269718,-1000.0,"[20.76068560878807, 1.7395420176868868, 0.0874189040124905, 39.48303397775364, 3.0, 0.15291133740084703, 3.1518987410172015, 2.826192955550632]",50,12,10,0.0001,10,"[-1151.9118923832386, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718]",3.48
PSO,9,-1152.3395946269718,-1000.0,"[22.348169728265624, 1.4819897662784647, 0.2894336442729591, 114.82700603769786, 3.0, 0.09628985197979684, 5.917256009475002, 2.0]",50,12,10,0.0001,10,"[-1150.790079252918, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718]",3.67
PSO,13,-1152.3395946269718,-1000.0,"[23.194455716720682, 0.9140472064054849, 0.37146824600146877, 164.18592929432054, 2.8894633706859354, 0.12688482245602833, 4.576656172143158, 4.715028567968872]",50,11,10,0.0001,10,"[-1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718]",3.45
PSO,14,-1152.3395946269718,-1000.0,"[22.015959728566045, 0.7341748822679202, 0.14308366267081357, 195.80178246446485, 2.593612514293147, 0.0851910870179234, 3.9197808678221016, 8.621912414081327]",50,11,10,0.0001,10,"[-1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718]",3.5
PSO,12,-1152.3395946269718,-1000.0,"[20.212015329596582, 0.6888087202247328, 0.06723436508356168, 148.61631340946886, 2.8609413273195923, 0.3954326344435167, 6.517710797024256, 7.714048439908314]",50,12,10,0.0001,10,"[-1150.790079252918, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718]",3.73
PSO,15,-1152.3395946269718,-1000.0,"[12.932653382822377, 0.31781232064195386, 0.2576941874011731, 73.14453721337169, 3.0, 0.1505259241405585, 4.462449748497779, 6.545214568451511]",50,12,10,0.0001,10,"[-1150.5840066200149, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718]",3.46
PSO,18,-1152.3395946269718,-1000.0,"[21.606761369019893, 1.4603041537669843, 0.13222477324387108, 151.50465384472912, 2.9270914528910787, 0.4962623152423627, 7.714635598417485, 2.013806590337073]",50,11,10,0.0001,10,"[-1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718]",3.39
PSO,17,-1152.3395946269718,-1000.0,"[22.75876922839607, 1.4793381662032172, 0.3596305298732135, 100.96076390756424, 3.0, 0.1594027484920071, 6.213090387159009, 5.65250810995382]",50,12,10,0.0001,10,"[-1146.8440987933898, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718]",3.56
PSO,19,-1152.3395946269718,-1000.0,"[16.74469894715263, 1.5725524966571083, 0.05687079633866324, 131.07933095525135, 3.0, 0.447999617244121, 3.6011743195990773, 2.794913771037801]",50,12,10,0.0001,10,"[-1151.9118923832386, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718]",3.65
PSO,16,-1152.3395946269718,-1000.0,"[15.013957343447384, 2.4086130502556613, 0.05, 200.0, 2.741090626662005, 0.4646077149397211, 8.317738959755964, 6.770151888658977]",50,12,10,0.0001,10,"[-1151.9118923832386, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718, -1152.3395946269718]",4.3
CAB,1,-1151.9118923832386,-1000.0,"[17.73744452279186, 1.1633073469678619, 0.4062452925156533, 128.9245860699526, 2.5838000543609825, 0.37956237679652205, 6.61094068655139, 4.01330921537197]",50,11,10,0.0001,10,"[-1151.9118923832386, -1151.9118923832386, -1151.9118923832386, -1151.9118923832386, -1151.9118923832386, -1151.9118923832386, -1151.9118923832386, -1151.9118923832386, -1151.9118923832386, -1151.9118923832386, -1151.9118923832386]",4.28
CAB,3,-1151.9118923832386,-1000.0,"[18.805388819087923, 1.4553252158735928, 0.41925925507748224, 57.74677572943019, 2.6338074942176424, 0.25877818192864643, 7.847200871408327, 7.614564305972462]",50,11,10,0.0001,10,"[-1151.9118923832386, -1151.9118923832386, -1151.9118923832386, -1151.9118923832386, -1151.9118923832386, -1151.9118923832386, -1151.9118923832386, -1151.9118923832386, -1151.9118923832386, -1151.9118923832386, -1151.9118923832386]",4.35
CAB,0,-1146.8440987933898,-1000.0,"[4.2016410406379165, 1.9578437290099153, 0.17323209436980075, 146.47737271876153, 2.8314042808262725, 0.1070676960175615, 8.188669772404644, 2.416249061202369]",50,11,10,0.0001,10,"[-1146.8440987933898, -1146.8440987933898, -1146.8440987933898, -1146.8440987933898, -1146.8440987933898, -1146.8440987933898, -1146.8440987933898, -1146.8440987933898, -1146.8440987933898, -1146.8440987933898, -1146.8440987933898]",4.76
