alg,seed,fitness,theta,gens,time_sec,pop_size
ABC,0,2.119045454349323,"[-0.0014765600360184235, 0.8962493810920868, 0.07551954114970838, 0.29237416010127526, 0.02238925117352207, 0.0027124946032038265]",50,0.06,10
ABC,1,2.063180238454152,"[-0.10892858315532239, -0.1612389179817285, -0.1676836335381485, -0.0010652724662012503, -0.3138222138437944, 0.28169023280834093]",50,0.06,10
ABC,2,2.211842408120081,"[-0.04740314649315419, 0.007566762945669991, 0.9212116692327946, -0.012685350915785543, -0.06185229840101447, 0.9991646901143834]",50,0.06,10
ABC,3,2.230624807441448,"[0.1936260444997146, -0.8819908464809376, 0.06130303752985289, 0.10756686882373605, -0.21051490157301, -0.013732899530539109]",50,0.06,10
ABC,4,1.9442998288970021,"[0.10011083247916552, -0.8576170843288415, 0.11779126430719367, 0.01872620002238856, 0.13610389300493064, -0.09399756533537762]",50,0.06,10
ABC,0,1.274995217376873,"[-0.09079979834009519, 0.01374250742896474, 0.22340069942606067, 0.1309275939904575, -0.14110328680229856, -0.11248267373037013]",50,0.19,30
ABC,1,0.7746273291344825,"[0.008917575570513724, -0.22011337539056064, -0.05616060612836542, -0.05583034885351422, 0.00017147506305785487, 0.015934759909702084]",50,0.21,30
ABC,2,1.0700633816842502,"[-0.0008174029487758704, -0.1318917589435158, 0.16716639657279142, -0.18253120807783957, -0.005967153320935285, 0.06858428562118535]",50,0.19,30
ABC,3,1.9149568834973967,"[0.20925031701330066, 0.002556198893345997, 0.29545057084904136, 0.22279996263818025, -0.17318283497096135, 0.02656261212381225]",50,0.19,30
ABC,4,0.8586977175049779,"[-0.2343539037948924, -0.0033876844673756956, 0.07489284806875696, 0.06003168286259308, -0.01041579910086593, -0.0013559146236351849]",50,0.2,30
ABC,0,1.960968486182495,"[0.08452752338335046, 0.15244085322557965, -0.03965050997715311, -0.9371079510199412, -0.08891566426301518, -0.11540824973235564]",50,0.33,50
ABC,1,0.9261130158861914,"[0.0663209998572829, -0.02781369961360164, 0.13713765248357923, 0.17101517213627382, -0.01890026110502463, 0.11697584830772972]",50,0.32,50
ABC,2,0.5364888062002895,"[-0.006111550188353201, -0.0070717464760019985, -0.0028289175410562174, -0.022790005931945245, 0.07764575588978571, 0.15711314595790174]",50,0.31,50
ABC,3,0.32957997617630186,"[0.016442405020248872, 0.02018675624527856, -0.02860212005509688, -0.04037479783384185, 0.025559420762833462, -0.1069915285640265]",50,0.32,50
ABC,4,0.4300353824624428,"[-0.10494506445611482, -0.06770607164121198, -0.07520504579690857, -0.015121825667388067, 0.01799944771757879, 0.022383490285245007]",50,0.32,50
