alg,seed,fitness,theta,gens,stalled_gens,time_sec,pop_size
ABC,0,2.5147938741553237,"[0.0221237301164688, -1.1116560355280853, 0.26508598656764115, 0.01969271680043519, -0.16361380049421692, 0.000530910110951667]",27,10,0.2,60
ABC,1,0.8497779792863764,"[0.008225627320752186, 0.11486042251250517, 0.013797468610902973, 0.005529063194054995, -0.13788579072411067, -0.1649845944209139]",28,10,0.21,60
ABC,2,1.3889952147977849,"[0.046856847885477615, -0.1816455224075979, -0.27011367948436105, 0.11843915255430604, 0.022356468444676203, -0.07367797175767227]",33,10,0.25,60
ABC,3,1.2130739046659014,"[0.10058530461512022, -0.02224080605497286, -0.22247275314289064, -0.14645726377660218, 0.1399822300578899, -0.0014970939451925507]",39,10,0.3,60
ABC,4,0.2295074052768027,"[-0.02515967739725722, -0.07866153692317869, 0.00983496144817872, 0.01895723994286895, -0.038786626089577725, -0.006914340063919333]",21,10,0.16,60
ABC,0,0.6255349137663342,"[0.06530490200516081, 0.006907875376717031, -0.15535587035064752, 0.055997370961973235, 0.040571946494562056, 0.07287554768234072]",50,8,0.44,70
ABC,1,0.21218266343317582,"[-0.004401202813065212, 0.023236571891181695, -0.07939849217844283, -0.0026213909351764757, -0.03007710275284159, 0.00827160710456587]",50,7,0.45,70
ABC,2,2.2198000281929713,"[-0.025650619133014085, -0.11234123367894422, 0.1343415131964963, 0.2268398749620606, -0.43177996266403834, -0.199694423540517]",19,10,0.17,70
ABC,3,1.9072176910072298,"[0.022954999874451154, -0.08395000909616451, -0.860852588863007, 0.15905776518812534, 0.09411554821103707, 0.07500384329913523]",22,10,0.19,70
ABC,4,0.2148395746452647,"[-0.010219892566367999, 0.02747837841373238, 0.029081727200021362, -0.07059837451518508, 0.0282353061275364, 0.021993719905210846]",45,10,0.39,70
ABC,0,0.7612774296231568,"[0.009511795606409471, 0.11284294024087854, 0.07498459263951404, -0.04761609289125193, 0.17487664065947262, 0.002606541791819149]",37,10,0.47,100
ABC,1,1.3748763638776613,"[0.02564307792275311, 0.0871148474566733, 0.005426058634579348, 0.03565142182786518, 0.3794095002454818, -0.02102102190420882]",36,10,0.47,100
ABC,2,0.5657391645464895,"[-0.06983781669955946, -0.03263197816065189, -0.09097147503233685, 0.036711133060117446, -0.12075831955815422, -0.05328541333669597]",29,10,0.38,100
ABC,3,1.6697121739456127,"[0.17228226498541788, -0.3569048108168612, 0.15082133121360702, -0.004727464076972332, 0.004268016921861146, 0.07463219786386116]",44,10,0.56,100
ABC,4,0.5749949414769628,"[0.012502174075932349, -0.03122698100693877, -0.014956545316783892, 0.09209515317096151, -0.10987421206627962, -0.10916501102640441]",24,10,0.3,100
