alg,seed,fitness,theta,gens,stalled_gens,time_sec,pop_size,r_repulsion,r_orientation,r_attraction,alpha,beta
CAB,0,1.9334444527666048,"[0.9201127871574466, -0.05852391135583751, 0.1203940260454918, 0.043159296763586465, -0.07506463232239502, 0.1598054849105846]",50,0,2.54,60,0.3,1.0,1.5,0.13,0.03
CAB,1,1.4563801186152152,"[-0.11799536616680402, -0.14876769074431043, -0.021103660645979613, -0.33052450585013243, -0.04888803596050012, -0.007935469242674935]",50,1,2.68,60,0.3,1.0,1.5,0.13,0.03
CAB,2,0.8449626282123259,"[0.02469088094229397, 0.21776046166412738, -0.017489475871588885, 0.009332822599063708, 0.08554852981829282, -0.07566168761410647]",50,1,2.65,60,0.3,1.0,1.5,0.13,0.03
CAB,3,1.2790231110867158,"[0.093295035572248, 0.08192078574658007, -0.19720024283578935, 0.19846306056237017, 0.018018031098911452, 0.12039481606908256]",50,2,2.55,60,0.3,1.0,1.5,0.13,0.03
CAB,4,2.8434177898358155,"[-0.0015334491609617154, 0.862825590859653, 0.10683408932070046, -0.0042132903145760655, 0.8201692390215088, 0.9783498981414517]",50,2,2.42,60,0.3,1.0,1.5,0.13,0.03
CAB,0,3.6754875418307447,"[1.1946078475626325, -0.062030742956618264, 0.04283152987245209, 0.19131829532335184, -0.6651279316971425, 0.7984341489476031]",50,0,2.41,60,0.3,1.0,1.5,0.13,0.07
CAB,1,2.660563213681805,"[-1.0413938492826587, -0.15518473226106871, 0.22709830350021665, -0.26549934248938767, -0.02945007046099399, -0.05354465152083797]",50,5,2.39,60,0.3,1.0,1.5,0.13,0.07
CAB,2,1.233759488208698,"[-0.060776861451316846, -0.08676652700657407, -2.700710916172036e-05, -0.008918900514870546, 0.15304655345101859, -0.27297558451046766]",50,0,2.44,60,0.3,1.0,1.5,0.13,0.07
CAB,3,3.2823957165821622,"[0.9170761477944259, -0.07150307070150594, -1.1022291628574765, 0.9187413503305494, -0.0904549206461389, 0.921996241080895]",36,10,1.77,60,0.3,1.0,1.5,0.13,0.07
CAB,4,2.537159995253273,"[-0.12681057374043858, 0.21889075291055962, 0.20425922558691348, -0.05456127375128926, 0.15056985580466978, 1.0062339255102237]",50,2,2.43,60,0.3,1.0,1.5,0.13,0.07
CAB,0,2.4380413649813346,"[0.9553074278158259, 0.009931268410936648, 0.7515814622383701, -0.10252575693140842, 0.06305464181679798, 0.029492698191030467]",50,0,2.4,60,0.3,1.0,1.5,0.16,0.03
CAB,1,0.2155479867805714,"[-0.059786008523451464, -0.041396467346643984, -0.024508475105460222, 0.027438421271546453, -0.030478715008513863, 0.02061022489475945]",50,1,2.32,60,0.3,1.0,1.5,0.16,0.03
CAB,2,0.19912503451654517,"[-0.047820448437315456, -0.044039809916471065, 0.024547958713106367, 0.03646375241226865, -0.023900486873513198, 0.018627620050885106]",50,0,2.37,60,0.3,1.0,1.5,0.16,0.03
CAB,3,0.29389981348399674,"[0.059353849336384525, -0.06011249743910911, -0.04995467048809729, 0.04276419551573921, 0.029704702256359322, 0.01970393320117784]",50,0,2.48,60,0.3,1.0,1.5,0.16,0.03
CAB,4,1.6034638203240346,"[-0.037063372208336366, 0.17298976081391654, -0.12045329803373878, 0.16920101211243785, 0.05981167766670671, 0.2835341890308351]",50,1,2.34,60,0.3,1.0,1.5,0.16,0.03
CAB,0,3.193036054147129,"[1.0353015087893382, -0.9231506989338121, 0.9677187991258542, 0.04948483174458993, -0.1348078690937279, 0.9624984906627532]",50,3,2.36,60,0.3,1.0,1.5,0.16,0.07
CAB,1,0.3966968548613754,"[0.029009734896835913, -0.0780589897162006, -0.10058100240489115, -0.018404391268106564, -0.02280056389476935, 0.044075330543262084]",50,3,2.35,60,0.3,1.0,1.5,0.16,0.07
CAB,2,0.5117958387155892,"[-0.07607759770414743, -0.04766428053034914, -0.01856561451623217, 0.09196977303379855, 0.10766391410044732, -0.011771320196558702]",50,0,2.36,60,0.3,1.0,1.5,0.16,0.07
