alg,seed,fitness,theta,gens,stalled_gens,time_sec,pop_size
GWO,0,2.2767282148450363e-07,"[-6.002429712378762e-08, -4.411580176824473e-08, 6.174890024423936e-08, 5.799984725719085e-08, -6.28652314171074e-08, 5.2535667817121326e-08]",50,0,0.15,60
GWO,1,1.6870197581120294e-06,"[-4.397289552315809e-07, 4.220779874880441e-07, -4.1448945636319533e-07, -4.2805276963457804e-07, 4.0860672394654214e-07, -4.168331467888113e-07]",50,0,0.15,60
GWO,2,2.6713405110179167e-06,"[-6.273866671021081e-07, 6.705700020083906e-07, 6.122005291912796e-07, 6.698914219169464e-07, 7.136000831675877e-07, 7.070556691935075e-07]",50,0,0.15,60
GWO,3,2.3249994329788137e-07,"[-6.262347680991726e-08, -5.9083414438103466e-08, 6.476279874984127e-08, 5.6827608226455845e-08, -6.108372244595e-08, 4.127571001108029e-08]",50,0,0.15,60
GWO,4,2.1480994449873947e-07,"[5.595142214516236e-08, 4.9719073100294786e-08, -6.922042886774244e-08, -1.5523608324950484e-08, -5.506287230196236e-08, 6.030588257734987e-08]",50,0,0.15,60
GWO,0,1.4782211055219818e-07,"[4.230812337413949e-08, 3.6088363944313244e-08, 3.6940293003456334e-08, -2.3981112043736415e-08, 4.29621238429152e-08, -3.628343524323454e-08]",50,0,0.17,70
GWO,1,4.79746522508151e-08,"[-1.1124436258169529e-08, -1.3291360988911467e-08, -7.586597369090177e-09, 1.2546759757862201e-08, -1.3708276531474437e-08, -1.2640395896447064e-08]",50,0,0.18,70
GWO,2,2.878014417895258e-07,"[-6.409842054988037e-08, 7.0341796511586e-08, -8.334356633850836e-08, -7.950938546730186e-08, -6.47763854508645e-08, -6.738411038483325e-08]",50,0,0.19,70
GWO,3,5.264539426619308e-08,"[1.4471911337589958e-08, -1.2818022528874868e-08, 1.3921373033841533e-08, 1.1880831080107876e-08, 1.3914131110454362e-08, 1.1705826568846194e-08]",50,0,0.18,70
GWO,4,1.0779873744759527e-06,"[2.8303214242087056e-07, -2.405414904997004e-07, -2.5534383202820295e-07, -2.5494045092170517e-07, -2.810926463827377e-07, 2.9764505989118564e-07]",50,0,0.18,70
GWO,0,9.55510559563777e-09,"[2.0738056998855382e-09, -2.2484803619197816e-09, 2.502974595072504e-09, 2.518327985438374e-09, 2.291834738201065e-09, 2.6498716041076012e-09]",50,0,0.25,100
GWO,1,7.20373489748738e-08,"[1.797514917654034e-08, -1.701057750305679e-08, 1.906773807989178e-08, 1.6716660549769664e-08, 1.9801640013480032e-08, 1.727484643793341e-08]",50,0,0.25,100
GWO,2,4.439542511391892e-09,"[1.1995572638861627e-09, -1.0756910058839836e-09, 9.856264493122816e-10, -1.0870170408616406e-09, 1.1754619966716225e-09, 1.1226082877567635e-09]",50,0,0.25,100
GWO,3,3.91497541052388e-08,"[-7.614812414763996e-09, -1.0071799672960605e-08, -1.0836778542983102e-08, 9.883893802739616e-09, -8.914975806417335e-09, -1.0987864794389406e-08]",50,0,0.25,100
GWO,4,8.6926470022064e-08,"[-9.899889394599204e-09, 2.4598349738419966e-08, 2.4424459620607317e-08, 2.0458145674371985e-08, -2.39859668596339e-08, -2.3239502528051137e-08]",50,0,0.25,100
