alg,seed,fitness,theta,gens,stalled_gens,time_sec,pop_size,w,c1,c2
PSO,0,3.657151966431148,"[0.7932995898833682, -0.010082973488743985, -0.20985718431596467, -0.2861481103474257, 0.5865165142634833, 0.9749017590862181]",13,10,0.01,60,0.8,2.0,2.0
PSO,1,2.3211511123668314,"[0.14663984793172347, -0.38979104707245127, -0.2985055762522147, -0.14861140538587647, -0.1470808881275978, 0.09829798776858456]",36,10,0.03,60,0.8,2.0,2.0
PSO,2,3.5156189665407998,"[0.04454711492650887, -0.050780149885574666, -0.9054530678352376, -0.7284411649316855, -0.30678647061498376, -0.6404011007620429]",15,10,0.01,60,0.8,2.0,2.0
PSO,3,2.9560235821682856,"[-0.13553489009601488, 0.16770986438965024, -0.25115504109390185, -1.0604287308150928, 0.17295202783816377, 0.23426345357348663]",26,10,0.03,60,0.8,2.0,2.0
PSO,4,2.7412538761404517,"[0.1110787435484758, -0.13524493514489577, 1.0546584128525585, -0.08789331251569266, 0.7436591581003071, 0.033541571502200274]",32,10,0.03,60,0.8,2.0,2.0
PSO,0,3.776896306832793,"[1.135752165827086, -0.16364847894029144, 0.03686868432417967, -0.2902070666404297, 0.6809546579008562, 0.983790275614485]",13,10,0.01,60,0.8,2.0,1.8
PSO,1,2.066110943365971,"[-0.2929244389848642, -0.1700375936821341, -0.34489378950952, 0.03790808481558816, -0.13831440732644362, -0.01389657353917062]",37,10,0.03,60,0.8,2.0,1.8
PSO,2,3.0368925530597584,"[0.32391039046169867, -0.036328389528945626, -0.1500526748778812, 0.10832719349088515, -0.9703186280354443, -0.3928292474522463]",23,10,0.02,60,0.8,2.0,1.8
PSO,3,2.7547159619287815,"[-0.29860403578007677, -0.9751643651269659, -0.004891822903241805, 0.0636589392051628, 0.03507088059834218, 0.974569530645897]",18,10,0.02,60,0.8,2.0,1.8
PSO,4,1.9576417731460016,"[0.13363557073311672, -0.049660960771212626, -0.04749822966526507, -0.012483198869157608, 0.8612870640347582, -0.18040538397049302]",21,10,0.02,60,0.8,2.0,1.8
PSO,0,1.5023418734721194,"[0.2002808144118382, -0.1704376925950516, 0.050870385124384465, 0.06817922449261898, 0.10528685283841877, 0.22701941890467242]",25,10,0.02,60,0.8,1.8,2.0
PSO,1,1.7338115201103759,"[-0.022989700796930634, -0.13128078165699203, -0.06362750446560031, -0.9489103812093126, 0.03691237323598495, -0.03640985814747346]",50,8,0.05,60,0.8,1.8,2.0
PSO,2,3.4358249964955445,"[-0.06961265752879564, 0.238182384233542, -0.6250379179169042, 0.7045560762684093, 0.7938778018785086, 0.019710623696236523]",16,10,0.01,60,0.8,1.8,2.0
PSO,3,0.9593982908454604,"[-0.10368415446973935, 0.18442125428218908, 0.049970544102910075, -0.10447526277762297, 0.11041830924531067, 0.020286950322378785]",50,1,0.05,60,0.8,1.8,2.0
PSO,4,2.7068722337360254,"[1.0260723981195063, 0.06908182723746492, 0.7826539759618734, 0.0861321807015829, 0.19513712595866523, 0.026618480680292822]",33,10,0.03,60,0.8,1.8,2.0
PSO,0,2.423004914942077,"[0.028626802168012055, 0.3393720080449171, 0.13566823724715787, 0.8821099930946863, 0.11964670686926304, -0.03505185444431007]",24,10,0.02,60,0.8,1.8,1.8
PSO,1,3.5981838104604944,"[0.28519427748434745, -0.43897530967544474, -0.12449560491271727, 0.40010852319848755, -0.24395213316336095, 0.9365576525493626]",14,10,0.01,60,0.8,1.8,1.8
PSO,2,1.5637152908369427,"[-0.23926228056765164, -0.06446344955614126, -0.11490487643650146, -0.01725808745218327, 0.2862226980915551, -0.018627237895028237]",38,10,0.03,60,0.8,1.8,1.8
PSO,3,0.2434253366552821,"[-0.026958021597990725, -0.01641608024326524, -0.010803362890608792, -0.022775518250230553, -0.07453341740484079, -0.049497004996671444]",50,8,0.05,60,0.8,1.8,1.8
PSO,4,1.747761501547846,"[0.09491291400709434, -0.466020796908739, 0.04167399217418169, -0.08458968000998551, 0.08738610499258259, -0.07584614138533219]",32,10,0.03,60,0.8,1.8,1.8
PSO,0,3.653900200662673,"[-1.0138958207784388, -0.856531469603836, 0.052214012074267846, 0.7996445672249842, -0.10292314134664071, -0.5003144730693996]",12,10,0.01,60,0.9,2.0,2.0
PSO,1,4.470864129344598,"[0.042571502768839586, 1.506878747473479, 0.17177632010184918, 0.8931287146493934, -0.5830276060393693, 0.2340520413372284]",16,10,0.01,60,0.9,2.0,2.0
