alg,seed,train,test,theta,pop_size,gens,stalled_gens,tolerance,patience,fitness_history,time(seconds)
PSO,1,-77298.93827568684,-5512.073249600662,"[6.704305021787813, 1.6137185953660447, 0.43608083078396287, 10.0, 2.4264831454584077, 0.4729961306704372, 10.655778803561425, 12.0]",30,20,10,0.0001,10,"[-21474.802436422873, -45557.68228441391, -45557.68228441391, -56929.35050411506, -62801.63013037132, -62801.63013037132, -66272.66377678975, -66272.66377678975, -66272.66377678975, -77298.93827568684, -77298.93827568684, -77298.93827568684, -77298.93827568684, -77298.93827568684, -77298.93827568684, -77298.93827568684, -77298.93827568684, -77298.93827568684, -77298.93827568684, -77298.93827568684]",0.87
PSO,7,-89869.53997106705,-4144.919274195764,"[4.996121924921104, 0.32833176852317114, 0.45197304900695456, 200.0, 2.1660584672435714, 0.40770156675714064, 5.0, 11.784612873457673]",30,20,10,0.0001,10,"[-27864.29812901752, -43266.2214921173, -48514.45284186688, -62722.21816843631, -63189.71446175472, -63189.71446175472, -72593.18748546128, -82553.84655986489, -86540.4117722463, -89869.53997106705, -89869.53997106705, -89869.53997106705, -89869.53997106705, -89869.53997106705, -89869.53997106705, -89869.53997106705, -89869.53997106705, -89869.53997106705, -89869.53997106705, -89869.53997106705]",0.94
PSO,2,-80350.20444587893,-8043.680316723554,"[5.545967331150862, 0.36522407805720136, 0.19585979874590087, 200.0, 2.1956529367266, 0.3737395790978666, 7.250357775883417, 12.0]",30,27,10,0.0001,10,"[-23531.185463925056, -40954.60223889149, -49772.34123543504, -69874.28580933598, -69874.28580933598, -69874.28580933598, -69874.28580933598, -69874.28580933598, -69874.28580933598, -69874.28580933598, -69874.28580933598, -69874.28580933598, -69874.28580933598, -76957.66652002401, -76957.66652002401, -76957.66652002401, -80350.20444587893, -80350.20444587893, -80350.20444587893, -80350.20444587893, -80350.20444587893, -80350.20444587893, -80350.20444587893, -80350.20444587893, -80350.20444587893, -80350.20444587893, -80350.20444587893]",1.26
PSO,4,-81112.73936792623,-5056.399508885534,"[3.723135511327227, 0.5428309846056736, 0.499411054097518, 24.415882107542046, 1.8934081079504559, 0.48953226110567505, 5.0, 5.839464811897443]",30,26,10,0.0001,10,"[-22557.37728037995, -45137.241330731704, -46235.619555302146, -60874.99475880408, -60874.99475880408, -60874.99475880408, -60874.99475880408, -60874.99475880408, -68240.6335103166, -71238.12145412003, -77799.84219613214, -77799.84219613214, -77799.84219613214, -77799.84219613214, -77799.84219613214, -81112.73936792623, -81112.73936792623, -81112.73936792623, -81112.73936792623, -81112.73936792623, -81112.73936792623, -81112.73936792623, -81112.73936792623, -81112.73936792623, -81112.73936792623, -81112.73936792623]",1.33
PSO,0,-89869.53997106705,-4144.919274195764,"[5.281061204111881, 0.42647726078074266, 0.30041945783452606, 70.9638945824814, 2.085740070376064, 0.4058673991942463, 5.059231650212398, 12.0]",30,28,10,0.0001,10,"[-37553.351919321125, -41087.70339725116, -57260.3139801713, -72680.54166178104, -72680.54166178104, -77492.0345250952, -77492.0345250952, -77492.0345250952, -77492.0345250952, -82105.48646005309, -82105.48646005309, -86128.77063449932, -86458.96612389958, -86458.96612389958, -86458.96612389958, -86540.4117722463, -86540.4117722463, -89869.53997106705, -89869.53997106705, -89869.53997106705, -89869.53997106705, -89869.53997106705, -89869.53997106705, -89869.53997106705, -89869.53997106705, -89869.53997106705, -89869.53997106705, -89869.53997106705]",1.41
PSO,3,-80304.15266021287,-2281.5153174981747,"[7.663412321895864, 2.211106765875506, 0.36599834096628336, 11.72332249524692, 2.116987455890854, 0.3865828498978718, 9.307635136736867, 9.015361770542759]",30,34,10,0.0001,10,"[-18617.513917131586, -62348.17742495302, -62348.17742495302, -62348.17742495302, -62348.17742495302, -62348.17742495302, -62348.17742495302, -62348.17742495302, -62348.17742495302, -62348.17742495302, -62348.17742495302, -64358.32477245955, -64358.32477245955, -64358.32477245955, -64358.32477245955, -64358.32477245955, -70256.05365082453, -70256.05365082453, -70256.05365082453, -70256.05365082453, -70256.05365082453, -70256.05365082453, -70256.05365082453, -80304.15266021287, -80304.15266021287, -80304.15266021287, -80304.15266021287, -80304.15266021287, -80304.15266021287, -80304.15266021287, -80304.15266021287, -80304.15266021287, -80304.15266021287, -80304.15266021287]",1.47
PSO,8,-89869.53997106705,-4144.919274195764,"[4.768291177542469, 0.0, 0.4345261391223945, 133.04877058222908, 2.291206064770588, 0.4054210572590519, 5.0, 12.0]",30,20,10,0.0001,10,"[-31526.392924710468, -41625.66178372208, -64776.44149626896, -85952.10210028438, -86128.77063449932, -86128.77063449932, -86128.77063449932, -86458.96612389958, -86458.96612389958, -89869.53997106705, -89869.53997106705, -89869.53997106705, -89869.53997106705, -89869.53997106705, -89869.53997106705, -89869.53997106705, -89869.53997106705, -89869.53997106705, -89869.53997106705, -89869.53997106705]",1.08
CAB,1,-24285.514564572943,-4837.112917695276,"[9.123861168612128, 1.3303516265267352, 0.28001376399829037, 14.589995609810549, 2.0375951045288256, 0.43097694724795155, 10.7975401796804, 11.21333382413238]",30,15,10,0.0001,10,"[-21474.802436422873, -21474.802436422873, -21474.802436422873, -21474.802436422873, -24285.514564572943, -24285.514564572943, -24285.514564572943, -24285.514564572943, -24285.514564572943, -24285.514564572943, -24285.514564572943, -24285.514564572943, -24285.514564572943, -24285.514564572943, -24285.514564572943]",0.77
PSO,9,-80007.09706671686,-4332.225237605499,"[5.45645447729644, 0.0, 0.40976533804202364, 142.98398257494517, 2.448198642095198, 0.2993900455231804, 6.6757845018748725, 11.808484075947993]",30,24,10,0.0001,10,"[-28433.946245115163, -45315.49187861917, -62117.032810720586, -62117.032810720586, -68267.497003363, -68267.497003363, -79796.13705784314, -79796.13705784314, -79796.13705784314, -79796.13705784314, -79796.13705784314, -79796.13705784314, -79796.13705784314, -80007.09706671686, -80007.09706671686, -80007.09706671686, -80007.09706671686, -80007.09706671686, -80007.09706671686, -80007.09706671686, -80007.09706671686, -80007.09706671686, -80007.09706671686, -80007.09706671686]",1.19
CAB,0,-45129.207822922064,-2111.1755880944397,"[7.664185148094081, 0.5025413802499602, 0.2222021444048951, 182.97757843059458, 1.73645616472435, 0.28470348696072, 6.3736937648822085, 8.748506548234404]",30,18,10,0.0001,10,"[-37553.351919321125, -37553.351919321125, -37553.351919321125, -38082.062539010876, -38082.062539010876, -38082.062539010876, -38082.062539010876, -45129.207822922064, -45129.207822922064, -45129.207822922064, -45129.207822922064, -45129.207822922064, -45129.207822922064, -45129.207822922064, -45129.207822922064, -45129.207822922064, -45129.207822922064, -45129.207822922064]",0.95
