alg,seed,train,test,"theta [d1, t1, a1,  d2, t2, a2]",pop_size,gens,time(seconds)
PSO,0,-8.238841706858887e-10,-0.003195025859015069,"[50.0, 1.9462126186749016, 0.49796275795198636, 20.0, 1.8136627878093523, 0.5, -0.5506029547655054]",50,100,17.67
PSO,8,-8.238841706858887e-10,-0.0029592792387823303,"[49.736823177831674, 1.7634114895872128, 0.4998866123404221, 43.89178250762882, 1.697863911686849, 0.5, -1.498074075651343]",50,100,18.13
PSO,4,-5.726533507774882e-06,-0.24571755914464877,"[5.0, 0.5987049527093429, 0.4167879330993216, 35.57690304078861, 1.7508868806202829, 0.44056805997006687, 3.6902739369147337]",50,100,18.49
PSO,3,-2.8530509550119636e-13,-0.00011593567393169977,"[5.0, 1.2518870641325377, 0.26108895714149977, 20.0, 2.168535654541036, 0.4530198340463454, -0.9905307823505576]",50,100,18.66
PSO,1,-2.8530509550119636e-13,-0.00012030587717934787,"[5.0, 0.6206565500981274, 0.059611667480270615, 42.45779482954538, 1.6886242905839988, 0.4527279286084281, -1.2021089186589677]",50,100,18.96
PSO,6,-2.8530509550119636e-13,-0.00011593567393169977,"[5.0, 0.5380830799791676, 0.2027790611585557, 185.34347037765428, 2.317414775795584, 0.4527763633304454, -1.2629478305084858]",50,100,19.05
PSO,7,-2.8530509550119636e-13,-0.00011603596173557132,"[5.0, 0.5105304973362934, 0.5, 116.23796933528763, 2.2661377208984956, 0.45267113421951244, -0.9701692003285716]",50,100,19.18
PSO,9,-2.8530509550119636e-13,-0.00011603596173557132,"[5.0, 1.4466256352164404, 0.4220825656307982, 110.08201954699138, 2.1784740219097203, 0.4526670000528525, -0.7060399262785464]",50,100,19.19
PSO,11,-8.967218580478086e-13,-0.00021319940797404072,"[5.0, 1.233689601856985, 0.05, 20.0, 1.6177707870654785, 0.4986813796820053, -0.8156481161549212]",50,100,19.03
PSO,2,-2.8530509550119636e-13,-0.00011593567393169977,"[5.0, 0.9578969896751371, 0.5, 20.0, 1.8071246737248303, 0.4529672041283033, -0.841044870101054]",50,100,19.48
PSO,10,-2.8530509550119636e-13,-0.00011593567393169977,"[5.0, 1.3358052159495595, 0.3430398329307862, 152.33405389613705, 2.267241644922523, 0.45298048999545243, -0.8454478802855114]",50,100,19.51
PSO,5,-2.8530509550119636e-13,-0.00011593567393169977,"[5.0, 1.2618271147640365, 0.44425553673457824, 79.88570311181398, 1.9987346321717911, 0.45283294492570925, -0.5089392437485436]",50,100,19.72
PSO,19,-8.238841706858887e-10,-0.0029592792387823303,"[50.0, 2.0188525800859085, 0.49909395429675146, 99.57841201981121, 2.4611427624413227, 0.5, -1.4863825304200433]",50,100,17.03
PSO,12,-2.8530509550119636e-13,-0.00011593567393169977,"[5.0, 0.620237443100291, 0.28655677809160013, 184.10930047537644, 2.172617927799904, 0.45292913832668236, -0.6225280547368615]",50,100,18.73
PSO,14,-2.8530509550119636e-13,-0.00011603596173557132,"[5.0, 1.0842986257061216, 0.0754081705816911, 200.0, 1.597993622584722, 0.45268074432951316, -0.8612553557775058]",50,100,18.4
PSO,13,-2.8530509550119636e-13,-0.00011593567393169977,"[5.0, 0.8665779908707171, 0.3467151591706725, 20.0, 1.9083649032390753, 0.4528695916363775, -1.3284769570389234]",50,100,18.88
PSO,15,-2.8530509550119636e-13,-0.00011285204898001934,"[5.0, 0.9414050807832618, 0.38306645968085323, 156.71451428047072, 1.632300397023711, 0.4525500675022775, -1.011305666291429]",50,100,18.42
PSO,17,-3.393654875902062e-11,-0.0013320872461029302,"[5.0, 0.0, 0.5, 75.13186811577661, 1.8525140686274544, 0.4135792367479992, -2.379201821517567]",50,100,18.32
PSO,16,-4.528727740020224e-13,-0.0001360988930656691,"[5.058340112785158, 2.2232132610170847, 0.40754299923763704, 93.9619607590919, 2.268324302831556, 0.5, -1.3836084970643123]",50,100,18.46
PSO,21,-9.554192140163874e-13,-0.0002170809685762648,"[5.0, 1.020204378229312, 0.49774493532491626, 25.074926921133727, 1.8121840813613759, 0.5, -0.6996082749259691]",50,100,18.13
PSO,18,-2.8530509550119636e-13,-0.00011593567393169977,"[5.0, 1.4886290420960893, 0.05, 20.0, 1.9293495782742973, 0.4528985781220068, -0.8601688115443537]",50,100,18.9
PSO,22,-2.8530509550119636e-13,-0.00011285204898001934,"[5.0, 1.06453154481819, 0.05, 20.0, 2.177180009302375, 0.4525352016676045, -1.2811090418208029]",50,100,18.87
