alg,seed,train,test,"theta [d1, t1, a1,  d2, t2, a2, shift]",pop_size,gens,stalled_gens,tolerance,patience,fitness_history,time(seconds)
PSO,1,-48277.76519632115,-3278.165011281023,"[4.14539105349971, 3.0, 0.0590574370319448, 200.0, 3.0, 0.35805703723487303, 8.06386862637936, 8.112080058835577]",50,19,10,0.0001,10,"[-7653.432720374837, -20842.453488212886, -23103.237030095777, -24925.807497954927, -26947.481689239023, -31275.08933630683, -31275.08933630683, -45366.66182286944, -48277.76519632115, -48277.76519632115, -48277.76519632115, -48277.76519632115, -48277.76519632115, -48277.76519632115, -48277.76519632115, -48277.76519632115, -48277.76519632115, -48277.76519632115, -48277.76519632115]",1.49
PSO,6,-106207.3712509007,-3709.4299444908497,"[2.7647054442003807, 2.021774594557302, 0.18976010666364504, 20.0, 1.5281630304848066, 0.5, 5.446376499381587, 5.815277234882723]",50,24,10,0.0001,10,"[-12884.166700204423, -21824.516291595195, -32657.143258486998, -45319.44882062888, -45319.44882062888, -50256.723461053276, -86259.98703514949, -86259.98703514949, -86259.98703514949, -103904.02848318845, -103904.02848318845, -103904.02848318845, -103904.02848318845, -106207.3712509007, -106207.3712509007, -106207.3712509007, -106207.3712509007, -106207.3712509007, -106207.3712509007, -106207.3712509007, -106207.3712509007, -106207.3712509007, -106207.3712509007, -106207.3712509007]",1.78
PSO,5,-111256.64698738551,-2506.203007905364,"[2.7482920662397907, 1.9939707351637936, 0.07488976833880648, 20.0, 1.8871899832579417, 0.5, 3.0, 4.213850568478618]",50,24,10,0.0001,10,"[-14304.04215788768, -54380.404644114424, -54380.404644114424, -54380.404644114424, -54380.404644114424, -84673.46967111154, -84673.46967111154, -90292.18047027713, -90292.18047027713, -90292.18047027713, -92356.92537126238, -99260.66331027013, -109741.65077107909, -111256.64698738551, -111256.64698738551, -111256.64698738551, -111256.64698738551, -111256.64698738551, -111256.64698738551, -111256.64698738551, -111256.64698738551, -111256.64698738551, -111256.64698738551, -111256.64698738551]",1.88
PSO,2,-108219.93218890636,-4737.270832729227,"[5.026443956632147, 1.8331372490419997, 0.0934345255758289, 49.24859499595318, 2.2163121386305296, 0.30978669487648247, 7.111827882516097, 9.0]",50,28,10,0.0001,10,"[-5447.805041151516, -19362.215380933736, -40376.38838205321, -40376.38838205321, -40376.38838205321, -49293.78499486966, -53961.666295507166, -55540.93750948347, -55540.93750948347, -100799.44038428355, -100799.44038428355, -100799.44038428355, -100799.44038428355, -100799.44038428355, -100799.44038428355, -100799.44038428355, -100799.44038428355, -108219.93218890636, -108219.93218890636, -108219.93218890636, -108219.93218890636, -108219.93218890636, -108219.93218890636, -108219.93218890636, -108219.93218890636, -108219.93218890636, -108219.93218890636, -108219.93218890636]",2.05
PSO,7,-70942.97772486904,-3861.4949406488145,"[4.1633212075274715, 0.7470713383989188, 0.05, 200.0, 1.8180413992027347, 0.49253493086053296, 4.6277104569366, 8.30378935639985]",50,25,10,0.0001,10,"[-11710.965117962596, -22115.093912727545, -26424.448515978245, -46211.116169867346, -46211.116169867346, -46211.116169867346, -46211.116169867346, -50781.978977733765, -50781.978977733765, -50781.978977733765, -58450.27553957596, -58450.27553957596, -64459.86555100208, -69947.51490429488, -70942.97772486904, -70942.97772486904, -70942.97772486904, -70942.97772486904, -70942.97772486904, -70942.97772486904, -70942.97772486904, -70942.97772486904, -70942.97772486904, -70942.97772486904, -70942.97772486904]",2.08
PSO,3,-118076.03989867195,-2298.061153737314,"[2.7305393886618807, 2.303294247936077, 0.12649232170329977, 83.47258696188327, 2.232176220987582, 0.5, 5.089861700022765, 3.5696726354979402]",50,35,10,0.0001,10,"[-6660.246245015913, -34685.2064338319, -41978.09133529729, -41978.09133529729, -53747.30555666525, -58922.5697242943, -58922.5697242943, -85708.80956747246, -85708.80956747246, -85708.80956747246, -85708.80956747246, -85708.80956747246, -101215.71604822701, -105181.35659743036, -105181.35659743036, -107159.30079781628, -107159.30079781628, -107159.30079781628, -107159.30079781628, -107159.30079781628, -107159.30079781628, -107159.30079781628, -114988.32660882402, -114988.32660882402, -118076.03989867195, -118076.03989867195, -118076.03989867195, -118076.03989867195, -118076.03989867195, -118076.03989867195, -118076.03989867195, -118076.03989867195, -118076.03989867195, -118076.03989867195, -118076.03989867195]",2.81
PSO,4,-110152.33684783716,-3597.2650153163886,"[3.2668697373104703, 1.7883411511406127, 0.18166834570005239, 173.99872297950063, 1.854385653132115, 0.5, 4.796765807294089, 6.368446932967998]",50,39,10,0.0001,10,"[-7992.373502015961, -21459.107882349108, -21459.107882349108, -43118.15680078941, -43118.15680078941, -43448.248349643916, -43448.248349643916, -43448.248349643916, -43448.248349643916, -51707.42657791935, -66720.17703730453, -66720.17703730453, -66720.17703730453, -66720.17703730453, -66720.17703730453, -66720.17703730453, -91177.40359096503, -91177.40359096503, -91177.40359096503, -91868.73078033955, -100031.84955720183, -100031.84955720183, -106207.3712509007, -106207.3712509007, -106207.3712509007, -106207.3712509007, -106207.3712509007, -106207.3712509007, -110152.33684783716, -110152.33684783716, -110152.33684783716, -110152.33684783716, -110152.33684783716, -110152.33684783716, -110152.33684783716, -110152.33684783716, -110152.33684783716, -110152.33684783716, -110152.33684783716]",3.06
PSO,9,-26775.38864814713,-4935.021777090615,"[25.859881799623608, 2.420649197232487, 0.4667710529104543, 200.0, 1.6688819572829021, 0.5, 9.0, 9.0]",50,20,10,0.0001,10,"[-6731.33716180441, -8803.709944329494, -13029.006461333962, -14325.854977864163, -16314.060062403472, -20802.34264784257, -20802.34264784257, -26026.24338551333, -26741.981248149445, -26775.38864814713, -26775.38864814713, -26775.38864814713, -26775.38864814713, -26775.38864814713, -26775.38864814713, -26775.38864814713, -26775.38864814713, -26775.38864814713, -26775.38864814713, -26775.38864814713]",1.45
PSO,10,-69919.42411146179,-2041.2886431776524,"[7.53506413213104, 0.4612045208651632, 0.43777570180994085, 200.0, 1.885205076672083, 0.2262574641283245, 9.0, 9.0]",50,25,10,0.0001,10,"[-6607.479582345806, -36945.59530894402, -36945.59530894402, -69519.22610728756, -69519.22610728756, -69519.22610728756, -69519.22610728756, -69519.22610728756, -69519.22610728756, -69519.22610728756, -69519.22610728756, -69519.22610728756, -69629.54983233301, -69629.54983233301, -69919.42411146179, -69919.42411146179, -69919.42411146179, -69919.42411146179, -69919.42411146179, -69919.42411146179, -69919.42411146179, -69919.42411146179, -69919.42411146179, -69919.42411146179, -69919.42411146179]",1.91
PSO,11,-116754.38988350553,-1704.5821400878724,"[3.293556265884399, 0.394435814779673, 0.23205272707186272, 41.270104680957274, 1.69297311741195, 0.47117316465542985, 5.447266990022345, 3.961089506400831]",50,25,10,0.0001,10,"[-64124.538091401046, -64124.538091401046, -64124.538091401046, -64124.538091401046, -72051.8743685929, -85056.22301835472, -85056.22301835472, -95046.83622376852, -99671.78064397509, -104967.80580347912, -104967.80580347912, -104967.80580347912, -104967.80580347912, -104967.80580347912, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553, -116754.38988350553]",2.26
