alg,seed,train,test,theta,pop_size,gens,stalled_gens,tolerance,patience,fitness_history,time(seconds)
PSO,7,-9433.138479717216,-1858.7831858112297,"[2.0, 0.31083363786596263, 0.0, 20.0, 1.2066556600108598, 0.0, 11.505723333208977, 9.352881901973928]",50,14,10,0.0001,10,"[-2210.1225307695117, -5862.393217534775, -7956.201597337578, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216]",2.04
PSO,1,-9433.138479717216,-1858.7831858112297,"[2.0, 0.18809326594587805, 0.0, 20.0, 1.358987485200475, 0.0, 12.0, 9.322088421161462]",50,15,10,0.0001,10,"[-4997.161165325915, -6873.676727747813, -8276.199701432364, -9397.744272871574, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216]",2.14
PSO,8,-9433.138479717216,-1858.7831858112297,"[2.0, 0.0, 0.0, 20.0, 0.5208239437405935, 0.0, 12.0, 8.833245504706673]",50,14,10,0.0001,10,"[-2823.8717666600546, -7282.727323776377, -7926.870445294397, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216]",2.08
PSO,3,-9433.138479717216,-1858.7831858112297,"[2.0, 0.0, 0.0, 20.0, 1.082977850114861, 0.0, 12.0, 9.046674505147516]",50,17,10,0.0001,10,"[-2496.836257170301, -2638.0796742139173, -3320.4367573198724, -5717.350284177489, -5896.397018814395, -7263.79515270624, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216]",2.32
PSO,9,-9433.138479717216,-1858.7831858112297,"[2.0, 0.3699845916100182, 0.0, 20.0, 1.2253710969421778, 0.0, 11.573286353001546, 9.038331070201933]",50,16,10,0.0001,10,"[-2614.231018371156, -7387.200841492918, -7459.097465409354, -8420.45418167448, -8420.45418167448, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216]",2.22
PSO,10,-7303.567866001813,-1780.1069191260965,"[3.277120391706168, 0.6698923515202987, 0.0, 20.0, 0.6496136773255874, 0.0, 12.0, 15.0]",50,16,10,0.0001,10,"[-1952.078958953505, -2431.621119047316, -2800.2310851999778, -4174.6712141349335, -6706.619313484047, -7303.567866001813, -7303.567866001813, -7303.567866001813, -7303.567866001813, -7303.567866001813, -7303.567866001813, -7303.567866001813, -7303.567866001813, -7303.567866001813, -7303.567866001813, -7303.567866001813]",2.21
PSO,5,-9433.138479717216,-1858.7831858112297,"[2.0, 0.2785121374735612, 0.0, 20.0, 1.0957406572356676, 0.0, 12.0, 9.454704502623153]",50,17,10,0.0001,10,"[-3189.947199113588, -7083.968814627697, -7083.968814627697, -7268.441368484809, -7387.200841492918, -8013.46948532575, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216]",2.32
PSO,11,-9433.138479717216,-1858.7831858112297,"[2.0483689094074777, 0.0, 0.0, 20.0, 1.3320638239315485, 0.0, 12.0, 8.671921065238259]",50,18,10,0.0001,10,"[-2243.773322106325, -2607.1623772041535, -3081.339975532291, -5091.611126582456, -7466.833653470694, -8752.942791563904, -8752.942791563904, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216]",2.55
PSO,2,-9433.138479717216,-1858.7831858112297,"[2.0, 0.0, 0.0, 20.0, 0.512126112169052, 0.0, 11.79245872438214, 8.514867741849555]",50,20,10,0.0001,10,"[-2192.319363207205, -2967.5218166458685, -6696.925696485143, -8430.710758305502, -9120.612614316176, -9120.612614316176, -9120.612614316176, -9397.744272871574, -9397.744272871574, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216]",2.87
PSO,0,-9433.138479717216,-1858.7831858112297,"[2.0, 0.49712383330329646, 0.0, 20.0, 0.6926799300891205, 0.0, 11.775902764951102, 8.741766464471068]",50,22,10,0.0001,10,"[-2604.6857650590523, -2704.3140534406552, -2955.037907258144, -3288.6831472576287, -3288.6831472576287, -3288.6831472576287, -5886.372527309198, -8575.905423017895, -8575.905423017895, -8575.905423017895, -8720.100756186303, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216]",3.1
