alg,seed,train,test,theta,pop_size,gens,stalled_gens,tolerance,patience,fitness_history,time(seconds)
PSO,9,-1497.6553770073208,-486.1263409963319,"[5.28174950511397, 2.067699936439456, 0.13631202918731522, 395.74207993234796, 1.1717338430851227, 0.4229194081225778, 0.0, 0.0]",50,12,10,0.0001,10,"[-1464.2157667427798, -1497.6553770073208, -1497.6553770073208, -1497.6553770073208, -1497.6553770073208, -1497.6553770073208, -1497.6553770073208, -1497.6553770073208, -1497.6553770073208, -1497.6553770073208, -1497.6553770073208, -1497.6553770073208]",1.7
PSO,4,-1484.1224321713994,-637.4208415369872,"[3.751354795133269, 1.7835906534167707, 0.05, 400.0, 0.6698074396527052, 0.33987397614029446, 0.0, 0.0]",50,13,10,0.0001,10,"[-1464.2157667427798, -1480.5954434756527, -1484.1224321713994, -1484.1224321713994, -1484.1224321713994, -1484.1224321713994, -1484.1224321713994, -1484.1224321713994, -1484.1224321713994, -1484.1224321713994, -1484.1224321713994, -1484.1224321713994, -1484.1224321713994]",1.8
PSO,6,-1603.8279259008175,-807.7126551376914,"[9.887250708552605, 1.803122237117691, 0.060455720421404756, 344.1731607243647, 0.0, 0.2551282101122329, 0.0, 0.0]",50,15,10,0.0001,10,"[-1508.8492889223044, -1508.8492889223044, -1511.994390911395, -1575.8990803991082, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175]",1.93
PSO,3,-1603.8279259008175,-807.7126551376914,"[10.0, 0.0, 0.28657744742023433, 339.767264254667, 0.0, 0.43139233397861276, 0.0, 0.0]",50,15,10,0.0001,10,"[-1314.1716286969822, -1508.8492889223044, -1550.863323989782, -1581.5888723614016, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175]",2.02
PSO,5,-1603.8279259008175,-807.7126551376914,"[10.0, 0.18746655781189459, 0.34256632327037173, 339.8572389488273, 0.0, 0.48317067108736433, 0.0, 0.0]",50,17,10,0.0001,10,"[-1366.204451641505, -1491.659450673008, -1491.659450673008, -1501.956552442775, -1502.98181304887, -1505.082224776373, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175]",2.22
PSO,0,-1603.8279259008175,-807.7126551376914,"[10.0, 2.204062438325293, 0.05, 342.51631056302205, 0.11074655263133937, 0.17037426465390446, 0.0, 0.0]",50,20,10,0.0001,10,"[-1395.5863215690488, -1464.6787964737448, -1482.5743887318704, -1509.8843329369474, -1510.687256721287, -1575.8990803991082, -1575.8990803991082, -1593.1612364797875, -1593.1612364797875, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175]",2.6
PSO,8,-1603.8279259008175,-807.7126551376914,"[9.993891116739743, 2.372256596824414, 0.05, 342.4922678878908, 0.0, 0.5, 0.0, 0.0]",50,19,10,0.0001,10,"[-1491.659450673008, -1491.659450673008, -1510.687256721287, -1510.687256721287, -1510.687256721287, -1510.687256721287, -1569.5432328482664, -1593.1612364797875, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175]",2.51
PSO,2,-1603.8279259008175,-807.7126551376914,"[10.0, 0.0, 0.05, 340.34548426377177, 0.0, 0.05, 0.0, 0.0]",50,21,10,0.0001,10,"[-1377.3026062683384, -1533.2548618203552, -1535.7476261669626, -1581.5888723614016, -1581.5888723614016, -1581.5888723614016, -1581.5888723614016, -1581.5888723614016, -1581.5888723614016, -1581.5888723614016, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175]",2.71
PSO,11,-1603.8279259008175,-807.7126551376914,"[10.0, 0.1505947250540487, 0.19665154124255393, 340.04736987289186, 0.0, 0.23466905282442158, 0.0, 0.0]",50,20,10,0.0001,10,"[-1167.187863522336, -1464.2157667427798, -1510.687256721287, -1523.0575375624328, -1549.8558788315738, -1573.284600876104, -1573.284600876104, -1581.5888723614016, -1581.5888723614016, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175]",2.64
PSO,10,-1603.8279259008175,-807.7126551376914,"[10.0, 0.38133326183842897, 0.24614902328182447, 340.26311624097457, 0.0, 0.45385544763326, 0.0, 0.0]",50,20,10,0.0001,10,"[-1461.688962632482, -1469.182707314136, -1510.687256721287, -1510.687256721287, -1510.687256721287, -1510.687256721287, -1533.2548618203552, -1533.2548618203552, -1535.7476261669626, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175]",2.66
PSO,1,-1603.8279259008175,-807.7126551376914,"[10.0, 2.232790625827542, 0.05, 343.41931586013544, 0.0, 0.47727302655850523, 0.0, 0.0]",50,22,10,0.0001,10,"[-1173.1174565609301, -1491.1878915326697, -1491.659450673008, -1491.659450673008, -1501.956552442775, -1501.956552442775, -1510.687256721287, -1510.687256721287, -1593.1612364797875, -1593.1612364797875, -1593.1612364797875, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175]",2.9
PSO,12,-1638.7365278623915,-591.1350041810728,"[5.460404889548621, 0.40166137615657244, 0.22390351398431174, 366.1683478053041, 0.9946108655233857, 0.4775678803410538, 0.0, 0.0]",50,12,10,0.0001,10,"[-1480.5954434756527, -1638.7365278623915, -1638.7365278623915, -1638.7365278623915, -1638.7365278623915, -1638.7365278623915, -1638.7365278623915, -1638.7365278623915, -1638.7365278623915, -1638.7365278623915, -1638.7365278623915, -1638.7365278623915]",1.72
PSO,13,-1603.8279259008175,-807.7126551376914,"[10.0, 0.34443826376886943, 0.1604879183537394, 339.61566618632344, 0.0, 0.05, 0.0, 0.0]",50,14,10,0.0001,10,"[-1510.687256721287, -1510.687256721287, -1526.5574307747286, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175]",1.8
PSO,14,-1603.8279259008175,-807.7126551376914,"[10.0, 0.0, 0.05, 339.65827911437447, 0.0, 0.05, 0.0, 0.0]",50,15,10,0.0001,10,"[-1476.5949342637732, -1523.0575375624328, -1581.5888723614016, -1581.5888723614016, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175]",1.89
PSO,7,-1603.8279259008175,-807.7126551376914,"[9.70854687090711, 0.36830687268237655, 0.4991477867306485, 340.11668222871265, 0.0, 0.0857476343712047, 0.0, 0.0]",50,32,10,0.0001,10,"[-1480.5954434756527, -1480.5954434756527, -1480.5954434756527, -1480.5954434756527, -1480.5954434756527, -1480.5954434756527, -1493.9860886384408, -1500.1458912913529, -1501.956552442775, -1510.687256721287, -1510.687256721287, -1510.687256721287, -1510.687256721287, -1510.687256721287, -1549.8558788315738, -1549.8558788315738, -1549.8558788315738, -1549.8558788315738, -1549.8558788315738, -1549.8558788315738, -1552.5699693951299, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175]",4.1
PSO,17,-1480.5954434756527,-632.1981103106393,"[5.26988616450766, 0.9775779308497283, 0.14878641315733893, 400.0, 0.8330527750143123, 0.22540173004862896, 0.0, 0.0]",50,12,10,0.0001,10,"[-1464.2157667427798, -1480.5954434756527, -1480.5954434756527, -1480.5954434756527, -1480.5954434756527, -1480.5954434756527, -1480.5954434756527, -1480.5954434756527, -1480.5954434756527, -1480.5954434756527, -1480.5954434756527, -1480.5954434756527]",1.65
PSO,18,-1603.8279259008175,-807.7126551376914,"[10.0, 1.579090707791704, 0.05, 342.83901627787554, 0.0, 0.361656612872459, 0.0, 0.0]",50,14,10,0.0001,10,"[-1487.927231401448, -1487.927231401448, -1569.5432328482664, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175]",1.84
PSO,21,-1603.8279259008175,-807.7126551376914,"[10.0, 0.450186973090004, 0.43100285604925553, 340.0453998940712, 0.0, 0.2099778372736544, 0.0, 0.0]",50,13,10,0.0001,10,"[-1496.810365716286, -1502.98181304887, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175]",1.69
