alg,seed,train,test,"theta [d1, t1, a1,  d2, t2, a2, shift]",pop_size,gens,time(seconds)
PSO,2,-46.944008252682714,-1000.0,"[50.0, 0.2777575655431735, 0.24955360749863412, 80.26673322782489, 3.0, 0.4341509038206087, 5.75235986841875, 5.301842391534455]",50,40,4.62
PSO,11,-29.26219647159464,-188.46037979910713,"[18.888247307413973, 2.014613599898372, 0.10335910244159446, 41.958927115670505, 0.0, 0.18203145541718646, 0.6424128258797799, 0.0]",50,40,5.58
PSO,6,-10.717958868871454,-280.72170414712764,"[43.96763090739216, 2.0543468120440065, 0.14154882746903868, 184.43071337137775, 2.0303262974177088, 0.3110614703718515, 0.6171825908215067, 3.1802243806229153]",50,40,5.8
PSO,9,-25.911895680191773,-1000.0,"[48.27670674484178, 0.38641926229487894, 0.5, 121.6404760716913, 0.0, 0.42767006314693157, 4.388524688668602, 0.617414981970731]",50,40,5.97
PSO,7,-11.81883593469767,-281.30134031449927,"[25.570463417416306, 1.104749292749861, 0.11707965232939468, 30.237751552697752, 1.963599977035008, 0.3356553450001809, 0.9594276610128889, 3.2525125327222497]",50,40,6.08
PSO,3,-11.81883593469767,-281.30134031449927,"[26.221704221212303, 1.2802838772516312, 0.5, 20.0, 1.763594188316045, 0.3357422203383667, 0.8234079857043773, 2.80881954934169]",50,40,6.1
PSO,8,-32.63058543778802,-166.1975992657643,"[36.42481727645955, 1.5257295391866381, 0.45047237884243874, 129.1488896707686, 1.334450099202043, 0.42394362191719875, 5.074302482426561, 0.0]",50,40,6.14
PSO,10,-24.032513255816415,-1000.0,"[35.66213670169594, 0.3049095744610074, 0.40265938219507186, 179.48615234603085, 0.7880342834545198, 0.08115409417113946, 6.0, 1.0620212819922092]",50,40,6.51
PSO,0,-29.980908652873126,-166.1975992657643,"[17.56554265979907, 0.37337708475605624, 0.4473487377584639, 113.90343268382362, 1.08838595713551, 0.21220853824981425, 3.5478802183477223, 0.0]",50,40,6.82
PSO,4,-10.008261561909121,-278.7247096419426,"[26.051259428898145, 0.6640471330725988, 0.17590844797805377, 72.73269677267089, 2.067124953801171, 0.3122681779817733, 0.740986319956722, 0.8656032774441076]",50,40,6.99
PSO,1,-16.402502457867993,-235.5025182286611,"[20.660904778141532, 0.0, 0.05, 195.03458205870865, 2.2780049037130077, 0.40199283681147874, 0.9021505187939427, 2.6844260717753725]",50,40,7.21
PSO,5,-25.940951891084328,-138.38551824346143,"[50.0, 2.5390948018711317, 0.1985295679929398, 200.0, 3.0, 0.05, 1.7107132651894612, 0.0]",50,40,7.22
PSO,12,-9.900037896174313,-1819.0011132353009,"[20.13891113544949, 0.0, 0.297825788983709, 113.63435260939951, 1.7851869322951763, 0.1868023274020167, 4.675404346128785, 2.4130537507786562]",50,40,6.32
PSO,13,-11.81883593469767,-281.30134031449927,"[26.168052528005724, 0.5849444179075569, 0.27030090125170386, 35.73410602226038, 2.487171920140301, 0.3348297588646942, 0.6635434284957675, 2.643811141645308]",50,40,5.41
PSO,18,-11.076154895027756,-437.7031035791321,"[48.960101487572445, 2.0102941519999367, 0.16354652614432183, 134.15853752299594, 1.9922559730444314, 0.26592437624849646, 0.8352841710798689, 0.6685824044199317]",50,40,5.64
PSO,16,-10.554920416224297,-686.571656041891,"[26.681037293225028, 1.0871084022100985, 0.38658459366610376, 200.0, 1.9378661578088208, 0.25180050898701756, 0.7617847365393117, 1.1941489699169798]",50,40,5.75
PSO,17,-9.419733317060455,-224.39238159709365,"[35.42438838892481, 2.0920765826896415, 0.15425710819896543, 150.21654981579977, 1.9735577693619684, 0.2896397658480598, 0.5218470238473706, 2.997491395915779]",50,40,5.8
PSO,19,-29.26219647159464,-157.52738919369605,"[27.765341605581817, 1.0867174259454102, 0.05, 20.0, 0.38071348875693917, 0.31027389580873105, 2.038166151251274, 0.0]",50,40,5.39
PSO,14,-7.133464974517018,-382.50296845084864,"[25.696800381390176, 2.0739963328637057, 0.07782822462698988, 70.6087919528599, 2.0402061501536553, 0.3151307862221952, 0.9706982367279021, 0.6019249024307908]",50,40,6.19
PSO,20,-15.12569721019746,-599.6625621391107,"[16.012976972862038, 1.1952771050777922, 0.14730969017767753, 80.71420389778247, 0.017938178022419704, 0.3542436022481019, 1.7189498773650078, 1.0624356038886644]",50,40,5.52
PSO,22,-19.69383074809995,-1364.18103896382,"[30.15040278211477, 2.2185112141794696, 0.16492468828129725, 104.67519356576459, 2.467516201383031, 0.19672625207135033, 6.0, 3.1661204262358025]",50,40,5.29
PSO,21,-14.444309508529678,-1042.406600828044,"[27.71727641826936, 1.489393611597552, 0.3670356408417586, 133.6772810015038, 2.310011414830172, 0.1747848590239061, 5.061222531364415, 1.35540875248219]",50,40,5.52
PSO,15,-10.008261561909121,-278.7247096419426,"[26.334925853722268, 1.0466775624555793, 0.33498951692807966, 22.938209151872968, 1.9652533228821396, 0.31000752622220273, 0.8780663893869392, 0.9512178554646085]",50,40,6.47
PSO,23,-9.839918136911779,-100.10301363234584,"[35.3922735909809, 2.000469890514546, 0.09698346783560284, 32.525345209347485, 2.19045997848894, 0.406566382708497, 1.0231118853698784, 0.6799665358682108]",50,40,6.16
PSO,25,-29.26219647159464,-771.6444592198582,"[29.309479303897902, 1.433012561072259, 0.32295299714300624, 59.71405720667633, 0.0, 0.28005070405208293, 2.005881786582647, 0.0]",50,40,5.2
PSO,24,-10.008261561909121,-278.7247096419426,"[26.48071463471668, 1.1452797537222534, 0.3238226833616305, 20.0, 2.402753570811534, 0.3115282280281028, 1.2437603264888688, 1.131038196073542]",50,40,5.94
PSO,28,-31.114191579245237,-184.0777474906863,"[20.72187430663444, 1.3743567657378932, 0.1939498089156619, 100.70532858112634, 1.13591014898422, 0.39770902721811885, 5.290546884501282, 0.0]",50,40,5.35
PSO,29,-29.980908652873126,-156.70653716096686,"[30.301207140759335, 3.0, 0.08236051632452186, 200.0, 2.8025219461330937, 0.5, 1.5432146701297045, 0.20436790995871137]",50,40,5.88
PSO,33,-31.114191579245237,-184.0777474906863,"[19.856994020869568, 0.9073586623345427, 0.09268253381194853, 100.98328155560746, 0.7102195584177459, 0.12010624068235348, 6.0, 0.3466597961961493]",50,40,5.37
PSO,27,-17.19604811418562,-212.55922232205094,"[48.04856594096078, 2.956040346494822, 0.4404411654919533, 137.2566326206001, 3.0, 0.18204618537977754, 4.912791088075637, 0.5670166302103741]",50,40,6.1
PSO,34,-29.5837829843166,-202.1573889857113,"[27.77799437812829, 0.1296722556720212, 0.26886948822350026, 59.46237012327769, 0.0, 0.5, 5.372207798046723, 0.185441836731909]",50,40,5.54
PSO,32,-29.980908652873126,-125.67838218775077,"[23.20795041185747, 1.4165133111729056, 0.5, 20.0, 0.0, 0.5, 4.458417274435, 0.0]",50,40,5.56
PSO,31,-17.46959447858719,-676.9993754791949,"[44.373367309907806, 0.0, 0.16303140636325142, 102.3152515687784, 0.9977533979111064, 0.3440442612613677, 1.3979919772790452, 1.5090690619532352]",50,40,6.05
PSO,30,-19.152958977377263,-1374.3953234760518,"[27.74164253668372, 1.0160673784883119, 0.10059005592768125, 161.3698421917226, 2.2760162425034096, 0.32589408957690275, 5.847099610232637, 3.3157068712276767]",50,40,6.43
PSO,26,-10.008261561909121,-278.7247096419426,"[26.314928129670736, 0.6051363210931174, 0.19426512338780572, 132.39256049916438, 1.6416262371517556, 0.3099922815046218, 1.2655931525140665, 0.8430554564406164]",50,40,6.71
PSO,35,-10.008261561909121,-278.7247096419426,"[26.45986635871323, 1.130322471077814, 0.3330735705036288, 169.475481981074, 1.9558675112247605, 0.3103524173238689, 0.5597243773669511, 1.2805685312569404]",50,40,6.43
PSO,36,-19.152958977377263,-1374.3953234760518,"[27.92405376493956, 0.5785591294519178, 0.23031838208522037, 169.61255237953364, 1.73100642172833, 0.3249390521434314, 5.877705723657532, 2.776134623846305]",50,40,6.57
PSO,37,-28.657077016098675,-142.96506023356847,"[7.881033365212897, 2.773623196476455, 0.5, 169.2127086817171, 3.0, 0.05, 2.4816887689642075, 0.0]",50,40,6.12
PSO,38,-10.325962002886488,-164.03861858745447,"[30.22651817111525, 1.4259208804019656, 0.18824034136583184, 66.96228516539928, 2.4210917068742983, 0.4468728986749695, 1.2462277819616343, 2.745495386346046]",50,40,5.96
PSO,40,-29.980908652873126,-166.1975992657643,"[21.483850426258435, 0.026210350134183383, 0.2405148391790428, 110.24065022328219, 0.8374093253761675, 0.489147190441422, 4.467517576247515, 0.22354123258213418]",50,40,5.43
PSO,44,-29.26219647159464,-1000.0,"[27.654189069492915, 0.9055627611955317, 0.31220074972041795, 68.78141073736553, 0.0, 0.32377302379078915, 0.7279852096993668, 0.0]",50,40,5.03
